"Trial","Effect","Follow-Up Year","Measure","Estimate","UI","Estimate_Orig"
"White_Y1975","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0043,"(0.0043,0.0043)",0.0043
"White_Y1975","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0041,"(0.004,0.0042)",0.0041
"White_Y1975","Effect of screening, same treatment",10,"MRR",0.9535,"(0.9314,0.9756)",0.9535
"White_Y1975","Effect of screening, same treatment",10,"ARR",2e-04,"(1e-04,3e-04)",2e-04
"White_Y1975","Effect of screening, same treatment",10,"NNS",5000,"(3500,9833.3333)",6666.6667
"White_Y1975","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0226,"(0.0209,0.0244)",0.0226
"White_Y1975","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.021,"(0.0196,0.0225)",0.021
"White_Y1975","Effect of screening, same treatment",25,"MRR",0.9292,"(0.9228,0.9371)",0.93
"White_Y1975","Effect of screening, same treatment",25,"ARR",0.0016,"(0.0013,0.0019)",0.0016
"White_Y1975","Effect of screening, same treatment",25,"NNS",625,"(532.3887,763.1579)",647.7733
"Black_Y1999","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.003,"(0.0027,0.0033)",0.003
"Black_Y1999","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0029,"(0.0027,0.0031)",0.0029
"Black_Y1999","Effect of screening, same treatment",10,"MRR",0.9667,"(0.9409,0.9985)",0.9697
"Black_Y1999","Effect of screening, same treatment",10,"ARR",1e-04,"(0,2e-04)",1e-04
"Black_Y1999","Effect of screening, same treatment",10,"NNS",10000,"(5000,5000)",5000
"Black_Y1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0176,"(0.0163,0.0188)",0.0176
"Black_Y1999","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.0166,"(0.0154,0.0177)",0.0166
"Black_Y1999","Effect of screening, same treatment",25,"MRR",0.9432,"(0.9419,0.9444)",0.9431
"Black_Y1999","Effect of screening, same treatment",25,"ARR",0.001,"(9e-04,0.0011)",0.001
"Black_Y1999","Effect of screening, same treatment",25,"NNS",1000,"(914.1414,1106.0606)",1010.101
"White_Y2015","Effect of screening, same treatment",10,"Cumulative Incidence, Group 0",0.0022,"(0.0021,0.0023)",0.0022
"White_Y2015","Effect of screening, same treatment",10,"Cumulative Incidence, Group 1",0.0021,"(0.002,0.0022)",0.0021
"White_Y2015","Effect of screening, same treatment",10,"MRR",0.9545,"(0.9525,0.9564)",0.9545
"White_Y2015","Effect of screening, same treatment",10,"ARR",1e-04,"(1e-04,1e-04)",1e-04
"White_Y2015","Effect of screening, same treatment",10,"NNS",10000,"(10000,10000)",10000
"White_Y2015","Effect of screening, same treatment",25,"Cumulative Incidence, Group 0",0.0152,"(0.0144,0.016)",0.0152
"White_Y2015","Effect of screening, same treatment",25,"Cumulative Incidence, Group 1",0.014,"(0.0134,0.0147)",0.014
"White_Y2015","Effect of screening, same treatment",25,"MRR",0.9211,"(0.919,0.9303)",0.9247
"White_Y2015","Effect of screening, same treatment",25,"ARR",0.0012,"(0.001,0.0013)",0.0012
"White_Y2015","Effect of screening, same treatment",25,"NNS",833.3333,"(775,994.2308)",884.6154
"Black_Y1999","Effect of treatment, without screening",10,"Cumulative Incidence, Group 0",0.0043,"(0.0043,0.0043)",0.0043
"Black_Y1999","Effect of treatment, without screening",10,"Cumulative Incidence, Group 1",0.003,"(0.0027,0.0033)",0.003
"Black_Y1999","Effect of treatment, without screening",10,"MRR",0.6977,"(0.6314,0.764)",0.6977
"Black_Y1999","Effect of treatment, without screening",10,"ARR",0.0013,"(0.001,0.0016)",0.0013
"Black_Y1999","Effect of treatment, without screening",10,"NNS",769.2308,"(634.375,990.625)",812.5
"Black_Y1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0226,"(0.0209,0.0244)",0.0226
"Black_Y1999","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0176,"(0.0163,0.0188)",0.0176
"Black_Y1999","Effect of treatment, without screening",25,"MRR",0.7788,"(0.7716,0.7787)",0.7751
"Black_Y1999","Effect of treatment, without screening",25,"ARR",0.005,"(0.0046,0.0056)",0.0051
"Black_Y1999","Effect of treatment, without screening",25,"NNS",200,"(179.5419,216.4208)",197.9814
"Black_Y1999","Effect of treatment, with screening",10,"Cumulative Incidence, Group 0",0.0041,"(0.004,0.0042)",0.0041
"Black_Y1999","Effect of treatment, with screening",10,"Cumulative Incidence, Group 1",0.0029,"(0.0027,0.0031)",0.0029
"Black_Y1999","Effect of treatment, with screening",10,"MRR",0.7073,"(0.6462,0.7717)",0.7089
"Black_Y1999","Effect of treatment, with screening",10,"ARR",0.0012,"(9e-04,0.0015)",0.0012
"Black_Y1999","Effect of treatment, with screening",10,"NNS",833.3333,"(677.7778,1100)",888.8889
"Black_Y1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.021,"(0.0196,0.0225)",0.021
"Black_Y1999","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.0166,"(0.0154,0.0177)",0.0166
"Black_Y1999","Effect of treatment, with screening",25,"MRR",0.7905,"(0.7847,0.7875)",0.7861
"Black_Y1999","Effect of treatment, with screening",25,"ARR",0.0044,"(0.0042,0.0048)",0.0045
"Black_Y1999","Effect of treatment, with screening",25,"NNS",227.2727,"(209.0774,237.3512)",223.2143
"White_Y2015","Effect of treatment, without screening",10,"Cumulative Incidence, Group 0",0.0043,"(0.0043,0.0043)",0.0043
"White_Y2015","Effect of treatment, without screening",10,"Cumulative Incidence, Group 1",0.0022,"(0.0021,0.0023)",0.0022
"White_Y2015","Effect of treatment, without screening",10,"MRR",0.5116,"(0.4895,0.5337)",0.5116
"White_Y2015","Effect of treatment, without screening",10,"ARR",0.0021,"(0.002,0.0022)",0.0021
"White_Y2015","Effect of treatment, without screening",10,"NNS",476.1905,"(455.6818,498.8636)",477.2727
"White_Y2015","Effect of treatment, without screening",25,"Cumulative Incidence, Group 0",0.0226,"(0.0209,0.0244)",0.0226
"White_Y2015","Effect of treatment, without screening",25,"Cumulative Incidence, Group 1",0.0152,"(0.0144,0.016)",0.0152
"White_Y2015","Effect of treatment, without screening",25,"MRR",0.6726,"(0.654,0.6913)",0.6727
"White_Y2015","Effect of treatment, without screening",25,"ARR",0.0074,"(0.0065,0.0084)",0.0074
"White_Y2015","Effect of treatment, without screening",25,"NNS",135.1351,"(118.6121,155.2849)",136.9485
"White_Y2015","Effect of treatment, with screening",10,"Cumulative Incidence, Group 0",0.0041,"(0.004,0.0042)",0.0041
"White_Y2015","Effect of treatment, with screening",10,"Cumulative Incidence, Group 1",0.0021,"(0.002,0.0022)",0.0021
"White_Y2015","Effect of treatment, with screening",10,"MRR",0.5122,"(0.478,0.5482)",0.5131
"White_Y2015","Effect of treatment, with screening",10,"ARR",0.002,"(0.0018,0.0022)",0.002
"White_Y2015","Effect of treatment, with screening",10,"NNS",500,"(457.0707,553.0303)",505.0505
"White_Y2015","Effect of treatment, with screening",25,"Cumulative Incidence, Group 0",0.021,"(0.0196,0.0225)",0.021
"White_Y2015","Effect of treatment, with screening",25,"Cumulative Incidence, Group 1",0.014,"(0.0134,0.0147)",0.014
"White_Y2015","Effect of treatment, with screening",25,"MRR",0.6667,"(0.6514,0.6863)",0.6688
"White_Y2015","Effect of treatment, with screening",25,"ARR",0.007,"(0.0061,0.0079)",0.007
"White_Y2015","Effect of treatment, with screening",25,"NNS",142.8571,"(127.5161,163.0006)",145.2584
